id,year,name,startDay,maxDays
1,2021,december,wednesday,31
2,2022,january,saturday,31
3,2022,february,tuesday,28
4,2022,march,tuesday,31
5,2022,april,friday,30
6,2022,may,sunday,31
7,2022,june,wednesday,30
8,2022,july,friday,31
9,2022,august,monday,31
10,2022,september,thursday,30
11,2022,october,saturday,31
12,2022,november,tuesday,30
13,2022,december,thursday,31
14,2023,january,sunday,31
15,2023,february,wednesday,28
16,2023,march,wednesday,31
17,2023,april,saturday,30
18,2023,may,monday,31
19,2023,june,thursday,30
20,2023,july,saturday,31
21,2023,august,tuesday,31
22,2023,september,friday,30
23,2023,october,sunday,31
24,2023,november,wednesday,30
25,2023,december,friday,31
26,2024,january,monday,31
27,2024,february,thursday,29
28,2024,march,friday,31
29,2024,april,sunday,30
30,2024,may,wednesday,31
31,2024,june,saturday,30
32,2024,july,monday,31
33,2024,august,thursday,31
34,2024,september,sunday,30
35,2024,october,tuesday,31
36,2024,november,friday,30
37,2024,december,saturday,31
38,2025,january,wednesday,31
39,2025,february,saturday,28
40,2025,march,saturday,31
41,2025,april,tuesday,30
42,2025,may,thursday,31
43,2025,june,sunday,30
44,2025,july,tuesday,31
45,2025,august,friday,31
46,2025,september,monday,30
47,2025,october,wednesday,31
48,2025,november,saturday,30
49,2025,december,monday,31
50,2026,january,thursday,31
51,2026,february,sunday,28
52,2026,march,sunday,31
53,2026,april,wednesday,30
